,list_date,trade_date,open,high,low,close,pre_close,change,pct_change,vol,amount
0,19910403,20180928,10.78,11.27,10.78,11.05,10.74,0.31,2.8864,2110242.67,2331358.288
1,19910403,20180927,10.65,10.84,10.57,10.74,10.71,0.03,0.2801,880363.33,942200.398
2,19910403,20180926,10.61,10.92,10.52,10.71,10.55,0.16,1.5166,1490513.43,1600626.208
3,19910403,20180925,10.52,10.68,10.48,10.55,10.67,-0.12,-1.1246,977014.7,1030715.785
4,19910403,20180921,10.26,10.7,10.18,10.67,10.23,0.44,4.3011,1624518.41,1707850.487
5,19910403,20180920,10.27,10.36,10.19,10.23,10.24,-0.01,-0.0977,620348.36,636742.814
6,19910403,20180919,10.03,10.34,10.03,10.24,10.08,0.16,1.5873,1231548.77,1257191.505
7,19910403,20180918,9.73,10.12,9.7,10.08,9.69,0.39,4.0248,1126807.42,1120867.543
8,19910403,20180917,9.8,9.8,9.68,9.69,9.84,-0.15,-1.5244,517082.33,502609.643
9,19910403,20180914,9.98,9.98,9.81,9.84,9.96,-0.12,-1.2048,619750.19,611422.48
10,19910403,20180913,10.09,10.1,9.84,9.96,9.88,0.08,0.8097,999725.61,993389.97
11,19910403,20180912,9.87,9.97,9.82,9.88,9.91,-0.03,-0.3027,564829.16,558399.563
12,19910403,20180911,9.9,10.03,9.81,9.91,9.88,0.03,0.3036,712967.51,707337.57
13,19910403,20180910,10.01,10.07,9.84,9.88,10.01,-0.13,-1.2987,636989.29,631174.169
14,19910403,20180907,10.04,10.18,9.93,10.01,9.97,0.04,0.4012,809035.34,815151.722
15,19910403,20180906,10.05,10.14,9.95,9.97,10.05,-0.08,-0.796,711777.55,713975.749
16,19910403,20180905,10.3,10.33,10.05,10.05,10.43,-0.38,-3.6433,1179453.17,1202345.697
17,19910403,20180904,10.2,10.55,10.07,10.43,10.19,0.24,2.3553,1296342.08,1339756.563
18,19910403,20180903,10.09,10.3,10.09,10.19,10.13,0.06,0.5923,711695.67,725303.291
19,19910403,20180831,10.13,10.32,10.1,10.13,10.12,0.01,0.0988,1310865.24,1337898.869
20,19910403,20180830,10.27,10.35,10.08,10.12,10.27,-0.15,-1.4606,994917.73,1013877.514
21,19910403,20180829,10.25,10.33,10.15,10.27,10.29,-0.02,-0.1944,901883.49,923581.546
22,19910403,20180828,10.34,10.43,10.24,10.29,10.43,-0.14,-1.3423,1289777.24,1331917.86
23,19910403,20180827,10.02,10.43,9.97,10.43,10.03,0.4,3.988,2218424.22,2251527.721
24,19910403,20180824,9.31,10.28,9.29,10.03,9.36,0.67,7.1581,3040408.39,2995071.976
25,19910403,20180823,9.3,9.42,9.23,9.36,9.29,0.07,0.7535,729074.62,680941.392
26,19910403,20180822,9.24,9.34,9.13,9.29,9.23,0.06,0.6501,982433.98,909598.743
27,19910403,20180821,9.02,9.26,9.01,9.23,9.0,0.23,2.5556,1264474.47,1163292.795
28,19910403,20180820,8.9,9.02,8.87,9.0,8.81,0.19,2.1566,681322.06,609934.725
29,19910403,20180817,8.88,8.94,8.78,8.81,8.78,0.03,0.3417,649476.56,576683.267
30,19910403,20180816,8.73,8.89,8.64,8.78,8.79,-0.01,-0.1138,638272.55,559523.123
31,19910403,20180815,9.02,9.02,8.75,8.79,9.0,-0.21,-2.3333,670442.85,594759.517
32,19910403,20180814,9.03,9.04,8.94,9.0,9.05,-0.05,-0.5525,430240.36,386334.617
33,19910403,20180813,9.12,9.16,8.9,9.05,9.23,-0.18,-1.9502,818491.12,736947.79
34,19910403,20180810,9.3,9.32,9.16,9.23,9.29,-0.06,-0.6459,424168.36,391366.341
35,19910403,20180809,9.04,9.35,9.02,9.29,9.05,0.24,2.6519,806783.77,746469.808
36,19910403,20180808,9.16,9.16,9.04,9.05,9.17,-0.12,-1.3086,578953.16,527526.989
37,19910403,20180807,8.96,9.17,8.88,9.17,8.94,0.23,2.5727,690423.19,624359.656
38,19910403,20180806,8.94,9.11,8.89,8.94,8.91,0.03,0.3367,554010.08,497906.686
39,19910403,20180803,8.93,9.1,8.91,8.91,8.94,-0.03,-0.3356,476546.62,428641.526
40,19910403,20180802,9.13,9.15,8.88,8.94,9.15,-0.21,-2.2951,931401.28,839272.254
41,19910403,20180801,9.42,9.5,9.11,9.15,9.42,-0.27,-2.8662,814081.68,759282.229
42,19910403,20180731,9.37,9.49,9.25,9.42,9.39,0.03,0.3195,720150.8,674484.65
43,19910403,20180730,9.32,9.49,9.26,9.39,9.25,0.14,1.5135,706385.97,661767.547
44,19910403,20180727,9.3,9.36,9.18,9.25,9.25,0.0,0.0,515126.03,477527.419
45,19910403,20180726,9.4,9.48,9.21,9.25,9.38,-0.13,-1.3859,833358.15,778429.753
46,19910403,20180725,9.44,9.47,9.33,9.38,9.4,-0.02,-0.2128,614122.81,575752.176
47,19910403,20180724,9.39,9.59,9.33,9.4,9.42,-0.02,-0.2123,1425894.16,1348746.826
48,19910403,20180723,9.04,9.45,9.0,9.42,9.11,0.31,3.4029,1781688.26,1646028.021
49,19910403,20180720,8.73,9.2,8.61,9.11,8.73,0.38,4.3528,1754277.4,1576843.937
50,19910403,20180719,8.75,8.81,8.69,8.73,8.7,0.03,0.34,461372.39,403674.308
51,19910403,20180718,8.75,8.85,8.69,8.7,8.72,-0.02,-0.23,525152.77,460697.377
52,19910403,20180717,8.74,8.75,8.66,8.72,8.73,-0.01,-0.11,375356.33,326396.994
53,19910403,20180716,8.85,8.9,8.69,8.73,8.88,-0.15,-1.69,689845.58,603427.713
54,19910403,20180713,8.92,8.94,8.82,8.88,8.88,0.0,0.0,603378.21,535401.175
55,19910403,20180712,8.6,8.97,8.58,8.88,8.64,0.24,2.78,1140492.31,1008658.828
56,19910403,20180711,8.62,8.69,8.54,8.64,8.98,-0.2,-2.23,851296.7,744765.824
57,19910403,20180710,8.88,8.88,8.75,8.84,9.03,-0.05,-0.55,896862.02,803038.965
58,19910403,20180709,8.55,8.89,8.54,8.89,8.66,0.37,4.27,1409954.6,1255007.609
59,19910403,20180706,8.47,8.64,8.32,8.52,8.6,0.06,0.7,988282.69,852071.526
60,19910403,20180705,8.48,8.59,8.41,8.46,8.61,-0.01,-0.12,835768.77,722169.579
61,19910403,20180704,8.49,8.61,8.47,8.47,8.67,-0.06,-0.69,711153.37,617278.559
